municipio_distrito;fecha_informe;casos_confirmados_P60mas_ultimos_14dias;tasa_incidencia_acumulada_P60mas_ultimos_14dias;codigo_geometria
Madrid-Retiro;2023/05/09 11:37:00;41;104,85;079603
Madrid-Salamanca;2023/05/09 11:37:00;51;115,41;079604
Madrid-Centro;2023/05/09 11:37:00;32;106,81;079601
Madrid-Arganzuela;2023/05/09 11:37:00;82;199,11;079602
Madrid-Chamartín;2023/05/09 11:37:00;55;126,89;079605
Madrid-Tetuán;2023/05/09 11:37:00;47;118;079606
Madrid-Chamberí;2023/05/09 11:37:00;53;125,36;079607
Madrid-Fuencarral-El Pardo;2023/05/09 11:37:00;93;141,26;079608
Madrid-Moncloa-Aravaca;2023/05/09 11:37:00;41;120,38;079609
Madrid-Latina;2023/05/09 11:37:00;102;141,3;079610
Madrid-Carabanchel;2023/05/09 11:37:00;95;152,77;079611
Madrid-Usera;2023/05/09 11:37:00;58;185,43;079612
Madrid-Puente de Vallecas;2023/05/09 11:37:00;92;160,84;079613
Madrid-San Blas - Canillejas;2023/05/09 11:37:00;56;147,8;079620
Madrid-Barajas;2023/05/09 11:37:00;17;147,02;079621
Madrid-Moratalaz;2023/05/09 11:37:00;44;142,45;079614
Madrid-Ciudad Lineal;2023/05/09 11:37:00;103;162,59;079615
Madrid-Hortaleza;2023/05/09 11:37:00;128;274,46;079616
Madrid-Villaverde;2023/05/09 11:37:00;54;158,59;079617
Madrid-Villa de Vallecas;2023/05/09 11:37:00;40;199,18;079618
Madrid-Vicálvaro;2023/05/09 11:37:00;25;172,85;079619
Pozuelo de Alarcón;2023/05/09 11:37:00;20;95,8;1150
Alcorcón;2023/05/09 11:37:00;73;157,03;0072
Navalcarnero;2023/05/09 11:37:00;7;139,14;0967
San Agustín del Guadalix;2023/05/09 11:37:00;;145,21;1296
Las Rozas de Madrid;2023/05/09 11:37:00;25;133,41;1277
Moraleja de Enmedio;2023/05/09 11:37:00;;96,99;0894
Valdaracete;2023/05/09 11:37:00;;0;1551
Pozuelo del Rey;2023/05/09 11:37:00;;0;1163
Puebla de la Sierra;2023/05/09 11:37:00;;0;1185
Perales de Tajuña;2023/05/09 11:37:00;;0;1104
Valdemorillo;2023/05/09 11:37:00;;191,35;1603
Navalafuente;2023/05/09 11:37:00;;0;0941
Velilla de San Antonio;2023/05/09 11:37:00;;53,45;1678
Villanueva de la Cañada;2023/05/09 11:37:00;8;209,48;1760
Villanueva del Pardillo;2023/05/09 11:37:00;;92,68;1776
Nuevo Baztán;2023/05/09 11:37:00;;72,89;1006
Villamantilla;2023/05/09 11:37:00;;416,67;1757
Villamanta;2023/05/09 11:37:00;;286,53;1744
Cabanillas de la Sierra;2023/05/09 11:37:00;;529,1;0297
Cenicientos;2023/05/09 11:37:00;6;873,36;0376
Puentes Viejas;2023/05/09 11:37:00;;0;9020
Aranjuez;2023/05/09 11:37:00;23;169,69;0133
Cercedilla;2023/05/09 11:37:00;;112,04;0382
Santorcaz;2023/05/09 11:37:00;;438,6;1369
Coslada;2023/05/09 11:37:00;29;124,4;0493
Morata de Tajuña;2023/05/09 11:37:00;8;438,12;0915
Robregordo;2023/05/09 11:37:00;;0;1261
Navarredonda y San Mamés;2023/05/09 11:37:00;;0;0973
Venturada;2023/05/09 11:37:00;;0;1697
Navacerrada;2023/05/09 11:37:00;;123,61;0936
Montejo de la Sierra;2023/05/09 11:37:00;;0;0881
Fresno de Torote;2023/05/09 11:37:00;;219,78;0571
Pinilla del Valle;2023/05/09 11:37:00;;0;1126
Valdemaqueda;2023/05/09 11:37:00;;0;1599
Navas del Rey;2023/05/09 11:37:00;;0;0992
Olmeda de las Fuentes;2023/05/09 11:37:00;;0;1013
Bustarviejo;2023/05/09 11:37:00;;0;0284
Becerril de la Sierra;2023/05/09 11:37:00;;73,15;0186
Fuenlabrada;2023/05/09 11:37:00;79;181,65;0587
Garganta de los Montes;2023/05/09 11:37:00;;0;0626
Pinto;2023/05/09 11:37:00;13;137,74;1132
Alameda del Valle;2023/05/09 11:37:00;;0;0035
Berzosa del Lozoya;2023/05/09 11:37:00;;0;0203
Los Santos de la Humosa;2023/05/09 11:37:00;;0;1375
El Álamo;2023/05/09 11:37:00;12;531,21;0040
Pelayos de la Presa;2023/05/09 11:37:00;;0;1090
Galapagar;2023/05/09 11:37:00;8;115,21;0611
Griñón;2023/05/09 11:37:00;;90,74;0663
Gargantilla del Lozoya y Pinilla de Buitrago;2023/05/09 11:37:00;;0;0632
Aldea del Fresno;2023/05/09 11:37:00;;129,87;0088
Carabaña;2023/05/09 11:37:00;;0;0357
Talamanca de Jarama;2023/05/09 11:37:00;7;964,19;1454
Chapinería;2023/05/09 11:37:00;;369;0513
Ciempozuelos;2023/05/09 11:37:00;11;221,24;0409
Ajalvir;2023/05/09 11:37:00;;279,72;0029
San Lorenzo de El Escorial;2023/05/09 11:37:00;;66,77;1317
Gascones;2023/05/09 11:37:00;;0;0647
San Martín de la Vega;2023/05/09 11:37:00;9;298,9;1322
Móstoles;2023/05/09 11:37:00;126;218,21;0920
Leganés;2023/05/09 11:37:00;113;216,71;0745
Braojos;2023/05/09 11:37:00;;0;0246
Cubas de la Sagra;2023/05/09 11:37:00;;202,84;0506
Algete;2023/05/09 11:37:00;9;217,92;0091
Mejorada del Campo;2023/05/09 11:37:00;6;128,98;0843
Loeches;2023/05/09 11:37:00;;0;0758
Parla;2023/05/09 11:37:00;49;216,04;1065
Fuentidueña de Tajo;2023/05/09 11:37:00;;0;0604
Ambite;2023/05/09 11:37:00;;0;0112
Torremocha de Jarama;2023/05/09 11:37:00;;282,49;1533
Anchuelo;2023/05/09 11:37:00;;749,06;0127
Los Molinos;2023/05/09 11:37:00;;81,9;0875
Soto del Real;2023/05/09 11:37:00;;186,13;1441
Valverde de Alcalá;2023/05/09 11:37:00;;0;1662
Fuente el Saz de Jarama;2023/05/09 11:37:00;;357,91;0590
Horcajo de la Sierra-Aoslos;2023/05/09 11:37:00;;0;0702
Valdeolmos-Alalpardo;2023/05/09 11:37:00;;151,52;1625
Campo Real;2023/05/09 11:37:00;;0;0339
Valdeavero;2023/05/09 11:37:00;;964,63;1564
Villamanrique de Tajo;2023/05/09 11:37:00;;0;1739
Cobeña;2023/05/09 11:37:00;;471,25;0416
Fresnedillas de la Oliva;2023/05/09 11:37:00;;0;0565
Valdilecha;2023/05/09 11:37:00;;327,33;1659
El Berrueco;2023/05/09 11:37:00;;0;0210
Pezuela de las Torres;2023/05/09 11:37:00;;392,16;1111
Villar del Olmo;2023/05/09 11:37:00;;0;1795
Guadarrama;2023/05/09 11:37:00;;130,17;0685
San Martín de Valdeiglesias;2023/05/09 11:37:00;;133,33;1338
Torrelodones;2023/05/09 11:37:00;12;248,65;1527
Boadilla del Monte;2023/05/09 11:37:00;12;131,65;0225
Torrejón de Velasco;2023/05/09 11:37:00;;243,9;1505
Villanueva de Perales;2023/05/09 11:37:00;;0;1782
Tielmes;2023/05/09 11:37:00;6;993,38;1467
San Sebastián de los Reyes;2023/05/09 11:37:00;35;190,74;1343
Guadalix de la Sierra;2023/05/09 11:37:00;;155,88;0679
Humanes de Madrid;2023/05/09 11:37:00;;70,87;0730
Chinchón;2023/05/09 11:37:00;;277,78;0528
Cadalso de los Vidrios;2023/05/09 11:37:00;;223,71;0318
Hoyo de Manzanares;2023/05/09 11:37:00;;106,16;0724
Torrejón de la Calzada;2023/05/09 11:37:00;;331,79;1492
Estremera;2023/05/09 11:37:00;;240,38;0552
Corpa;2023/05/09 11:37:00;;1935,48;0480
Meco;2023/05/09 11:37:00;;97,23;0838
Madarcos;2023/05/09 11:37:00;;0;0783
Zarzalejo;2023/05/09 11:37:00;;237,53;1837
Arganda del Rey;2023/05/09 11:37:00;11;108,31;0148
Collado Mediano;2023/05/09 11:37:00;;129,28;0468
Daganzo de Arriba;2023/05/09 11:37:00;;79,11;0534
Manzanares El Real;2023/05/09 11:37:00;;119,4;0822
Buitrago del Lozoya;2023/05/09 11:37:00;;0;0278
Valdelaguna;2023/05/09 11:37:00;;0;1570
Valdepiélagos;2023/05/09 11:37:00;;0;1631
Casarrubuelos;2023/05/09 11:37:00;;0;0360
Miraflores de la Sierra;2023/05/09 11:37:00;;72,2;0856
Paracuellos de Jarama;2023/05/09 11:37:00;14;469,33;1049
El Vellón;2023/05/09 11:37:00;;233,1;1684
Lozoya;2023/05/09 11:37:00;;0;0761
Collado Villalba;2023/05/09 11:37:00;14;106,24;0474
Colmenarejo;2023/05/09 11:37:00;;60,31;0442
Villavieja del Lozoya;2023/05/09 11:37:00;;0;1821
Prádena del Rincón;2023/05/09 11:37:00;;0;1179
La Cabrera;2023/05/09 11:37:00;;312,5;0301
Sevilla la Nueva;2023/05/09 11:37:00;;134,68;1415
La Acebeda;2023/05/09 11:37:00;;0;0014
Redueña;2023/05/09 11:37:00;;0;1219
Robledillo de la Jara;2023/05/09 11:37:00;;0;1245
La Serna del Monte;2023/05/09 11:37:00;;0;1381
Colmenar de Oreja;2023/05/09 11:37:00;;239,01;0437
Rozas de Puerto Real;2023/05/09 11:37:00;;497,51;1283
Valdemanco;2023/05/09 11:37:00;;0;1586
Brunete;2023/05/09 11:37:00;;107,07;0262
Titulcia;2023/05/09 11:37:00;;331,13;1473
Villa del Prado;2023/05/09 11:37:00;7;441,36;1718
Lozoyuela-Navas-Sieteiglesias;2023/05/09 11:37:00;;0;9015
Quijorna;2023/05/09 11:37:00;;168,63;1198
Valdemoro;2023/05/09 11:37:00;40;364,3;1610
Tres Cantos;2023/05/09 11:37:00;11;109,41;9036
Torrelaguna;2023/05/09 11:37:00;;276,75;1512
Rivas-Vaciamadrid;2023/05/09 11:37:00;8;58,26;1230
El Atazar;2023/05/09 11:37:00;;0;0164
Pedrezuela;2023/05/09 11:37:00;;105,71;1087
Santa María de la Alameda;2023/05/09 11:37:00;;0;1356
Horcajuelo de la Sierra;2023/05/09 11:37:00;;0;0719
Arroyomolinos;2023/05/09 11:37:00;;62,23;0151
Moralzarzal;2023/05/09 11:37:00;10;397,61;0908
Canencia;2023/05/09 11:37:00;;595,24;0344
Villarejo de Salvanés;2023/05/09 11:37:00;;57,6;1809
Serranillos del Valle;2023/05/09 11:37:00;;132,8;1408
Villaviciosa de Odón;2023/05/09 11:37:00;;13,56;1816
Camarma de Esteruelas;2023/05/09 11:37:00;;80,97;0323
Robledo de Chavela;2023/05/09 11:37:00;;170,5;1258
Patones;2023/05/09 11:37:00;;0;1071
Navalagamella;2023/05/09 11:37:00;;191,94;0954
Rascafría;2023/05/09 11:37:00;;168,63;1202
El Boalo;2023/05/09 11:37:00;;215,05;0231
Majadahonda;2023/05/09 11:37:00;19;116,56;0800
Batres;2023/05/09 11:37:00;;0;0170
Alcobendas;2023/05/09 11:37:00;53;205,78;0066
Alcalá de Henares;2023/05/09 11:37:00;116;239,7;0053
Colmenar Viejo;2023/05/09 11:37:00;17;169,36;0455
San Fernando de Henares;2023/05/09 11:37:00;12;134,83;1300
Villalbilla;2023/05/09 11:37:00;;89,53;1723
El Escorial;2023/05/09 11:37:00;;118,43;0549
Colmenar del Arroyo;2023/05/09 11:37:00;;0;0421
Torrejón de Ardoz;2023/05/09 11:37:00;36;132,64;1489
Piñuécar-Gandullas;2023/05/09 11:37:00;;0;1147
Brea de Tajo;2023/05/09 11:37:00;;0;0259
El Molar;2023/05/09 11:37:00;;0;0869
Belmonte de Tajo;2023/05/09 11:37:00;;0;0199
Torres de la Alameda;2023/05/09 11:37:00;;256,74;1548
Somosierra;2023/05/09 11:37:00;;0;1436
Alpedrete;2023/05/09 11:37:00;;69,2;0105
Orusco de Tajuña;2023/05/09 11:37:00;;579,71;1028
La Hiruela;2023/05/09 11:37:00;;0;0698
Cervera de Buitrago;2023/05/09 11:37:00;;0;0395
Getafe;2023/05/09 11:37:00;63;140,48;0650
Ribatejada;2023/05/09 11:37:00;;0;1224
Villaconejos;2023/05/09 11:37:00;;0;1701
Valdetorres de Jarama;2023/05/09 11:37:00;;382,78;1646
Madrid-Retiro;2023/05/02 11:38:00;47;120,19;79603
Madrid-Salamanca;2023/05/02 11:38:00;44;99,57;79604
Madrid-Centro;2023/05/02 11:38:00;31;103,47;79601
Madrid-Arganzuela;2023/05/02 11:38:00;74;179,68;79602
