municipio_distrito;casos_confirmados_P60mas_ultimos_14dias;tasa_incidencia_acumulada_P60mas_ultimos_14dias;codigo_geometria
Madrid-Retiro;41;104,85;79603
Madrid-Salamanca;51;115,41;79604
Madrid-Centro;32;106,81;79601
Madrid-Arganzuela;82;199,11;79602
Madrid-Chamartín;55;126,89;79605
Madrid-Tetuán;47;118;79606
Madrid-Chamberí;53;125,36;79607
Madrid-Fuencarral-El Pardo;93;141,26;79608
Madrid-Moncloa-Aravaca;41;120,38;79609
Madrid-Latina;102;141,3;79610
Madrid-Carabanchel;95;152,77;79611
Madrid-Usera;58;185,43;79612
Madrid-Puente de Vallecas;92;160,84;79613
Madrid-San Blas - Canillejas;56;147,8;79620
Madrid-Barajas;17;147,02;79621
Madrid-Moratalaz;44;142,45;79614
Madrid-Ciudad Lineal;103;162,59;79615
Madrid-Hortaleza;128;274,46;79616
Madrid-Villaverde;54;158,59;79617
Madrid-Villa de Vallecas;40;199,18;79618
Madrid-Vicálvaro;25;172,85;79619
Pozuelo de Alarcón;20;95,8;1150
Alcorcón;73;157,03;72
Navalcarnero;7;139,14;967
San Agustín del Guadalix;;145,21;1296
Las Rozas de Madrid;25;133,41;1277
Moraleja de Enmedio;;96,99;894
Valdaracete;;0;1551
Pozuelo del Rey;;0;1163
Puebla de la Sierra;;0;1185
Perales de Tajuña;;0;1104
Valdemorillo;;191,35;1603
Navalafuente;;0;941
Velilla de San Antonio;;53,45;1678
Villanueva de la Cañada;8;209,48;1760
Villanueva del Pardillo;;92,68;1776
Nuevo Baztán;;72,89;1006
Villamantilla;;416,67;1757
Villamanta;;286,53;1744
Cabanillas de la Sierra;;529,1;297
Cenicientos;6;873,36;376
Puentes Viejas;;0;9020
Aranjuez;23;169,69;133
Cercedilla;;112,04;382
Santorcaz;;438,6;1369
Coslada;29;124,4;493
Morata de Tajuña;8;438,12;915
Robregordo;;0;1261
Navarredonda y San Mamés;;0;973
Venturada;;0;1697
Navacerrada;;123,61;936
Montejo de la Sierra;;0;881
Fresno de Torote;;219,78;571
Pinilla del Valle;;0;1126
Valdemaqueda;;0;1599
Navas del Rey;;0;992
Olmeda de las Fuentes;;0;1013
Bustarviejo;;0;284
Becerril de la Sierra;;73,15;186
Fuenlabrada;79;181,65;587
Garganta de los Montes;;0;626
Pinto;13;137,74;1132
Alameda del Valle;;0;35
Berzosa del Lozoya;;0;203
Los Santos de la Humosa;;0;1375
El Álamo;12;531,21;40
Pelayos de la Presa;;0;1090
Galapagar;8;115,21;611
Griñón;;90,74;663
Gargantilla del Lozoya y Pinilla de Buitrago;;0;632
Aldea del Fresno;;129,87;88
Carabaña;;0;357
Talamanca de Jarama;7;964,19;1454
Chapinería;;369;513
Ciempozuelos;11;221,24;409
Ajalvir;;279,72;29
San Lorenzo de El Escorial;;66,77;1317
Gascones;;0;647
San Martín de la Vega;9;298,9;1322
Móstoles;126;218,21;920
Leganés;113;216,71;745
Braojos;;0;246
Cubas de la Sagra;;202,84;506
Algete;9;217,92;91
Mejorada del Campo;6;128,98;843
Loeches;;0;758
Parla;49;216,04;1065
Fuentidueña de Tajo;;0;604
Ambite;;0;112
Torremocha de Jarama;;282,49;1533
Anchuelo;;749,06;127
Los Molinos;;81,9;875
Soto del Real;;186,13;1441
Valverde de Alcalá;;0;1662
Fuente el Saz de Jarama;;357,91;590
Horcajo de la Sierra-Aoslos;;0;702
Valdeolmos-Alalpardo;;151,52;1625
Campo Real;;0;339
Valdeavero;;964,63;1564
Villamanrique de Tajo;;0;1739
Cobeña;;471,25;416
Fresnedillas de la Oliva;;0;565
Valdilecha;;327,33;1659
El Berrueco;;0;210
Pezuela de las Torres;;392,16;1111
Villar del Olmo;;0;1795
Guadarrama;;130,17;685
San Martín de Valdeiglesias;;133,33;1338
Torrelodones;12;248,65;1527
Boadilla del Monte;12;131,65;225
Torrejón de Velasco;;243,9;1505
Villanueva de Perales;;0;1782
Tielmes;6;993,38;1467
San Sebastián de los Reyes;35;190,74;1343
Guadalix de la Sierra;;155,88;679
Humanes de Madrid;;70,87;730
Chinchón;;277,78;528
Cadalso de los Vidrios;;223,71;318
Hoyo de Manzanares;;106,16;724
Torrejón de la Calzada;;331,79;1492
Estremera;;240,38;552
Corpa;;1935,48;480
Meco;;97,23;838
Madarcos;;0;783
Zarzalejo;;237,53;1837
Arganda del Rey;11;108,31;148
Collado Mediano;;129,28;468
Daganzo de Arriba;;79,11;534
Manzanares El Real;;119,4;822
Buitrago del Lozoya;;0;278
Valdelaguna;;0;1570
Valdepiélagos;;0;1631
Casarrubuelos;;0;360
Miraflores de la Sierra;;72,2;856
Paracuellos de Jarama;14;469,33;1049
El Vellón;;233,1;1684
Lozoya;;0;761
Collado Villalba;14;106,24;474
Colmenarejo;;60,31;442
Villavieja del Lozoya;;0;1821
Prádena del Rincón;;0;1179
La Cabrera;;312,5;301
Sevilla la Nueva;;134,68;1415
La Acebeda;;0;14
Redueña;;0;1219
Robledillo de la Jara;;0;1245
La Serna del Monte;;0;1381
Colmenar de Oreja;;239,01;437
Rozas de Puerto Real;;497,51;1283
Valdemanco;;0;1586
Brunete;;107,07;262
Titulcia;;331,13;1473
Villa del Prado;7;441,36;1718
Lozoyuela-Navas-Sieteiglesias;;0;9015
Quijorna;;168,63;1198
Valdemoro;40;364,3;1610
Tres Cantos;11;109,41;9036
Torrelaguna;;276,75;1512
Rivas-Vaciamadrid;8;58,26;1230
El Atazar;;0;164
Pedrezuela;;105,71;1087
Santa María de la Alameda;;0;1356
Horcajuelo de la Sierra;;0;719
Arroyomolinos;;62,23;151
Moralzarzal;10;397,61;908
Canencia;;595,24;344
Villarejo de Salvanés;;57,6;1809
Serranillos del Valle;;132,8;1408
Villaviciosa de Odón;;13,56;1816
Camarma de Esteruelas;;80,97;323
Robledo de Chavela;;170,5;1258
Patones;;0;1071
Navalagamella;;191,94;954
Rascafría;;168,63;1202
El Boalo;;215,05;231
Majadahonda;19;116,56;800
Batres;;0;170
Alcobendas;53;205,78;66
Alcalá de Henares;116;239,7;53
Colmenar Viejo;17;169,36;455
San Fernando de Henares;12;134,83;1300
Villalbilla;;89,53;1723
El Escorial;;118,43;549
Colmenar del Arroyo;;0;421
Torrejón de Ardoz;36;132,64;1489
Piñuécar-Gandullas;;0;1147
Brea de Tajo;;0;259
El Molar;;0;869
Belmonte de Tajo;;0;199
Torres de la Alameda;;256,74;1548
Somosierra;;0;1436
Alpedrete;;69,2;105
Orusco de Tajuña;;579,71;1028
La Hiruela;;0;698
Cervera de Buitrago;;0;395
Getafe;63;140,48;650
Ribatejada;;0;1224
Villaconejos;;0;1701
Valdetorres de Jarama;;382,78;1646
Madrid-Retiro;47;120,19;79603
Madrid-Salamanca;44;99,57;79604
Madrid-Centro;31;103,47;79601
Madrid-Arganzuela;74;179,68;79602
Madrid-Chamartín;39;89,97;79605
Madrid-Tetuán;38;95,41;79606
Madrid-Chamberí;44;104,07;79607
Madrid-Fuencarral-El Pardo;109;165,57;79608
Madrid-Moncloa-Aravaca;37;108,64;79609
Madrid-Latina;114;157,92;79610
