UNIVERSIDAD,NUMERO TELEFONICO,Direcci¢n,Latitud,Longitud
CENTRO MEXICANO EN ESTOMATOLOGIA,TEL. 178 30 66  / 938 5784,"Avenida Victoria No. 1579, Col. Formando Hogar","19ø12'01.1""N","96ø09'16.1""W"
 ANTONIO CASO,9 35 09 77,Tuero Molina 830 Esq. 22 de Marzo Col. Zaragoza,"19ø10'46.1""N","96ø07'55.8""W"
UNIVERSIDAD CRISTOBAL COLON,9 23 29 50 ,"Paseo de Los Cedros, Pastora, Floresta","19ø09'20.5""Nÿ","96ø07'59.3""W"
COMPUTACION DEL GOLFO,9 31 01 70,"Gonz lez Pages 1115, Col. Centro","19ø11'03.9""Nÿ","96ø08'10.2""W"
CENTRO DE ESTUDIOS VERACRUZ (CEV),9 21 68 86,"Av. Miguel Negrete, Tuero Molina y Orizaba, Col. Zaragoza","19ø10'47.7""Nÿ","96ø07'44.6""W"
UNIVERSIDAD FILADELFIA DE MEXICO (XALAPA),01 228 814 0419,"Calle Enrique Hern ndez Castillo 301, Rafael Lucio, 91110 Xalapa Enr¡quez, Ver.","19ø33'28.7""N","96ø54'58.6""W"
CEULVER,283 56 09 / 200 46 76 ,"Av. Valent¡n G¢mez Farias 522, Col. Centro","19ø11'50.4""N","96ø07'59.1""W"
CANACO (RED DE APOYO PARA EL EMPRENDEDOR),9 89 02 70 ,"Av. Ignacio Allende 1389, Col. Centro","19ø11'50.2""N","96ø08'41.1""W"
ICATVER,9 86 80 48,"R¡o Bravo 188,  Col. Rio Medio","19ø12'16.0""N","96ø11'50.6""W"
PUNTO MXICO CONECTADO,2 86 70 42,"Av. Miguel Alem n 1581, Pascual Ortiz Rubio, Col. Ortiz Rubio 91750 ","19ø10'22.7""N","96ø08'09.8""W"
UNIVERSIDAD CLEU,9 21 36 47,"Calle Vivero 75, Col. Jardines del Virginia, 94294","19ø09'28.9""N","96ø06'37.9""W"
INSTITUTO DE ESTUDIOS UNIVERSITARIOS DEL ESTADO DE VERACRUZ (IEU),1 00 28 96 ,"Calz Simon Bol¡var 83, Col. Ignacio Zaragoza, 9191","19ø10'34.6""N","96ø07'18.1""W"
INSTITUTO DE TRAMITACION ADUANAL DEL GOLFO (ITAG),9 32 70 17,"Av Lafragua 513, Col. Centro, 91700","19ø11'03.4""N","96ø08'00.4""W"
TEC MILENIO,2 18 52 00,"Km 5.5, Blvd. Riviera Veracruzana, Mandinga y Matozas, 95263","19ø03'29.9""N","96ø04'01.2""W"
CENTRO DE ESTUDIOS DEL ATLANTICO,1 65 05 10,"Guadalupe Victoria 646, Col. Pinos, 91870","19ø12'28.0""N","96ø09'34.0""W"
UNIVERSIDAD DEL VALLE DE MEXICO UVM,9 23 62 90,"Av Progreso, Los Pinos, 94299","19ø08'55.0""N","96ø06'50.2""W"
CENTRO UNIVERSITARIO HISPANO MEXICANO,"9 35 628 22 EXT. 27,  22 99 32 35 37",Ernesto Dom¡nguez #111 Fracc. Reforma 91919,"19ø10'25.1""N","96ø07'19.1""W"
UNIVERSIDAD CESUVER,9 55 09 52,"Av. Valent¡n G¢mez Farias 722, Ricardo Flores Mag¢n, 91900","19ø11'44.3""N","96ø07'54.0""W"
